Episode ID,Language Instruction,Checkpoint Name,Task,GT video (1/3),GT video (2/3),GT video (3/3)
2026-04-01-163208Z-ur5e_single_4-7f39dc2d115a,pick up yellow cup and put yellow cup in the blue trash can,jun23_pretrain_80000,eval_17724,1,1,1
2026-04-01-164256Z-ur5e_single_4-ae2fd23771a0,pick up orange cup and put orange cup in the blue trash can,jun23_pretrain_80000,eval_17724,0,0,0
2026-04-01-171841Z-ur5e_single_4-01d1363d22d0,pick up blue bowl and put blue bowl in the blue trash can,jun23_pretrain_80000,eval_17724,1,1,1
2026-04-01-173123Z-ur5e_single_4-27ddf6c46758,pick up white bowl and put white bowl in the blue trash can,jun23_pretrain_80000,eval_17724,1,1,1
2026-04-01-174149Z-ur5e_single_4-fac99e4237f0,pick up orange plate and put orange plate in the blue trash can,jun23_pretrain_80000,eval_17724,1,1,0
2026-04-01-181402Z-ur5e_single_4-53d02be864cb,pick up chopstick and put chopstick in the blue trash can,jun23_pretrain_80000,eval_17724,1,1,1
2026-04-01-182821Z-ur5e_single_4-634f11a879d9,pick up spoon and put spoon in the blue trash can,jun23_pretrain_80000,eval_17724,1,0,0
2026-04-01-193933Z-ur5e_single_4-afe6258133e0,pick up chip bag and put chip bag in the clear bussing bin to the left,jun23_pretrain_80000,eval_17724,1,1,0
2026-04-01-195220Z-ur5e_single_4-e41e5567888b,pick up plastic lid and put plastic lid in the clear bussing bin to the left,jun23_pretrain_80000,eval_17724,1,0,0
2026-04-01-201408Z-ur5e_single_4-c116e8171d6f,pick up plastic container and put plastic container in the clear bussing bin to the left,jun23_pretrain_80000,eval_17724,1,1,0
2026-04-01-202435Z-ur5e_single_4-c9d24b3bbd05,pick up foil tray and put foil tray in the clear bussing bin to the left,jun23_pretrain_80000,eval_17724,1,1,0
2026-04-01-204331Z-ur5e_single_4-33abc38258de,pick up bottle and put bottle in the clear bussing bin to the left,jun23_pretrain_80000,eval_17724,1,1,0
,,,,,,
2026-04-01-055031Z-ur5e_single_4-241fc7ff9647,pick up yellow cup and put yellow cup in the blue trash can,full_large_run_5_100000,eval_17724,1,1,1
2026-04-01-060337Z-ur5e_single_4-52aad9fb2aaa,pick up orange cup and put orange cup in the blue trash can,full_large_run_5_100000,eval_17724,1,0,0
2026-04-01-061116Z-ur5e_single_4-a3bfcec71953,pick up blue bowl and put blue bowl in the blue trash can,full_large_run_5_100000,eval_17724,1,1,0
2026-04-01-061709Z-ur5e_single_4-083dd3c2d644,pick up white bowl and put white bowl in the blue trash can,full_large_run_5_100000,eval_17724,1,1,0
2026-04-01-064058Z-ur5e_single_4-01079a0555b2,pick up chopstick and put chopstick in the blue trash can,full_large_run_5_100000,eval_17724,1,0,0
2026-04-01-064945Z-ur5e_single_4-94fc8323d4f2,pick up spoon and put spoon in the blue trash can,full_large_run_5_100000,eval_17724,1,1,0
2026-04-01-075000Z-ur5e_single_4-de65ffe5a31b,pick up chip bag and put chip bag in the clear bussing bin to the left,full_large_run_5_100000,eval_17724,1,1,0
2026-04-01-080303Z-ur5e_single_4-0a65dda7935d,pick up plastic lid and put plastic lid in the clear bussing bin to the left,full_large_run_5_100000,eval_17724,1,1,0
2026-04-01-081903Z-ur5e_single_4-e7da5cdce432,pick up plastic container and put plastic container in the clear bussing bin to the left,full_large_run_5_100000,eval_17724,1,1,0
2026-04-01-083054Z-ur5e_single_4-1d21186cdf5a,pick up foil tray and put foil tray in the clear bussing bin to the left,full_large_run_5_100000,eval_17724,1,0,0
2026-04-01-085238Z-ur5e_single_4-07655ee3ea6d,pick up bottle and put bottle in the clear bussing bin to the left,full_large_run_5_100000,eval_17724,1,1,0
2026-04-01-092306Z-ur5e_single_4-448b7f98c5f1,pick up yellow cup and put yellow cup in the blue trash can,full_large_run_5_100000,eval_17724,1,1,1
2026-04-01-093712Z-ur5e_single_4-5d907235fd5c,pick up orange cup and put orange cup in the blue trash can,full_large_run_5_100000,eval_17724,1,0,0
2026-04-01-102022Z-ur5e_single_4-ca9c71ddaa6d,pick up blue bowl and put blue bowl in the blue trash can,full_large_run_5_100000,eval_17724,1,1,1
2026-04-01-103511Z-ur5e_single_4-d131f988d440,pick up white bowl and put white bowl in the blue trash can,full_large_run_5_100000,eval_17724,1,1,0
2026-04-01-111319Z-ur5e_single_4-0022cf4e3b31,pick up orange plate and put orange plate in the blue trash can,full_large_run_5_100000,eval_17724,1,1,0
2026-04-01-121936Z-ur5e_single_4-807ea9f1b98b,pick up chopstick and put chopstick in the blue trash can,full_large_run_5_100000,eval_17724,1,0,0
2026-04-01-123559Z-ur5e_single_4-1cb8cf525a04,pick up spoon and put spoon in the blue trash can,full_large_run_5_100000,eval_17724,1,1,0
2026-04-01-124559Z-ur5e_single_4-08a011c2bcab,pick up chip bag and put chip bag in the clear bussing bin to the left,full_large_run_5_100000,eval_17724,1,1,0
2026-04-01-125603Z-ur5e_single_4-80288605aee2,pick up plastic lid and put plastic lid in the clear bussing bin to the left,full_large_run_5_100000,eval_17724,1,1,0
2026-04-01-131256Z-ur5e_single_4-df2deeffe674,pick up plastic container and put plastic container in the clear bussing bin to the left,full_large_run_5_100000,eval_17724,1,0,0
2026-04-01-132123Z-ur5e_single_4-abb6c8020975,pick up foil tray and put foil tray in the clear bussing bin to the left,full_large_run_5_100000,eval_17724,1,1,0
2026-04-01-134719Z-ur5e_single_4-b3ec4087d898,pick up bottle and put bottle in the clear bussing bin to the left,full_large_run_5_100000,eval_17724,1,1,0
2026-04-01-163404Z-ur5e_single_4-8baa12ca07ac,pick up yellow cup and put yellow cup in the blue trash can,full_large_run_5_100000,eval_17724,1,0,0
2026-04-01-164859Z-ur5e_single_4-ec110d9efa3f,pick up orange cup and put orange cup in the blue trash can,full_large_run_5_100000,eval_17724,1,0,0
2026-04-01-172122Z-ur5e_single_4-2f867610442f,pick up blue bowl and put blue bowl in the blue trash can,full_large_run_5_100000,eval_17724,1,1,1
2026-04-01-173251Z-ur5e_single_4-42e6f3786da4,pick up white bowl and put white bowl in the blue trash can,full_large_run_5_100000,eval_17724,1,1,1
2026-04-01-174924Z-ur5e_single_4-a784e2e74dff,pick up orange plate and put orange plate in the blue trash can,full_large_run_5_100000,eval_17724,1,0,0
2026-04-01-181551Z-ur5e_single_4-65627bd4a1e9,pick up chopstick and put chopstick in the blue trash can,full_large_run_5_100000,eval_17724,1,0,0
2026-04-01-184057Z-ur5e_single_4-40b3edf7ae2e,pick up spoon and put spoon in the blue trash can,full_large_run_5_100000,eval_17724,1,0,0
2026-04-01-194242Z-ur5e_single_4-26553251a385,pick up chip bag and put chip bag in the clear bussing bin to the left,full_large_run_5_100000,eval_17724,1,1,0
2026-04-01-200557Z-ur5e_single_4-90880ce606b3,pick up plastic lid and put plastic lid in the clear bussing bin to the left,full_large_run_5_100000,eval_17724,0,0,0
2026-04-01-201544Z-ur5e_single_4-104ff166a12d,pick up plastic container and put plastic container in the clear bussing bin to the left,full_large_run_5_100000,eval_17724,0,0,0
2026-04-01-202716Z-ur5e_single_4-8dc8f25dc1b7,pick up foil tray and put foil tray in the clear bussing bin to the left,full_large_run_5_100000,eval_17724,1,1,0
2026-04-01-204726Z-ur5e_single_4-80d4aa2b1b20,pick up bottle and put bottle in the clear bussing bin to the left,full_large_run_5_100000,eval_17724,1,0,0
,,,,,,
2026-04-01-055407Z-ur5e_single_4-5db539ec3414,pick up yellow cup and put yellow cup in the blue trash can,oct14_pretrain_80000,eval_17724,1,1,1
2026-04-01-060548Z-ur5e_single_4-df0921eb57ef,pick up orange cup and put orange cup in the blue trash can,oct14_pretrain_80000,eval_17724,1,1,1
2026-04-01-061250Z-ur5e_single_4-e2a498fd56f5,pick up blue bowl and put blue bowl in the blue trash can,oct14_pretrain_80000,eval_17724,1,1,1
2026-04-01-061832Z-ur5e_single_4-70799660cc36,pick up white bowl and put white bowl in the blue trash can,oct14_pretrain_80000,eval_17724,1,1,1
2026-04-01-063058Z-ur5e_single_4-2403dbf4c37d,pick up orange plate and put orange plate in the blue trash can,oct14_pretrain_80000,eval_17724,1,0,0
2026-04-01-064159Z-ur5e_single_4-cae647a98fcf,pick up chopstick and put chopstick in the blue trash can,oct14_pretrain_80000,eval_17724,1,0,0
2026-04-01-075056Z-ur5e_single_4-0baab6f829c4,pick up chip bag and put chip bag in the clear bussing bin to the left,oct14_pretrain_80000,eval_17724,1,1,0
2026-04-01-080622Z-ur5e_single_4-44110faca403,pick up plastic lid and put plastic lid in the clear bussing bin to the left,oct14_pretrain_80000,eval_17724,1,1,0
2026-04-01-082133Z-ur5e_single_4-c28aec93756f,pick up plastic container and put plastic container in the clear bussing bin to the left,oct14_pretrain_80000,eval_17724,1,1,0
2026-04-01-083411Z-ur5e_single_4-d3a7cc1f86ed,pick up foil tray and put foil tray in the clear bussing bin to the left,oct14_pretrain_80000,eval_17724,1,0,0
2026-04-01-085648Z-ur5e_single_4-7308c0164e9b,pick up bottle and put bottle in the clear bussing bin to the left,oct14_pretrain_80000,eval_17724,1,1,0
2026-04-01-092615Z-ur5e_single_4-faf617373ee8,pick up yellow cup and put yellow cup in the blue trash can,oct14_pretrain_80000,eval_17724,1,1,1
2026-04-01-094009Z-ur5e_single_4-32b572f71a32,pick up orange cup and put orange cup in the blue trash can,oct14_pretrain_80000,eval_17724,1,1,1
2026-04-01-102232Z-ur5e_single_4-6b910e13d24b,pick up blue bowl and put blue bowl in the blue trash can,oct14_pretrain_80000,eval_17724,1,1,1
2026-04-01-103928Z-ur5e_single_4-6093970f5ce5,pick up white bowl and put white bowl in the blue trash can,oct14_pretrain_80000,eval_17724,1,1,1
2026-04-01-111629Z-ur5e_single_4-695f98089a85,pick up orange plate and put orange plate in the blue trash can,oct14_pretrain_80000,eval_17724,1,1,0
2026-04-01-122513Z-ur5e_single_4-3af0f6cef539,pick up chopstick and put chopstick in the blue trash can,oct14_pretrain_80000,eval_17724,1,1,0
2026-04-01-123730Z-ur5e_single_4-fcbf54dfad20,pick up spoon and put spoon in the blue trash can,oct14_pretrain_80000,eval_17724,1,0,0
2026-04-01-125013Z-ur5e_single_4-79d531895023,pick up chip bag and put chip bag in the clear bussing bin to the left,oct14_pretrain_80000,eval_17724,1,1,0
2026-04-01-125752Z-ur5e_single_4-b04bd28e50e7,pick up plastic lid and put plastic lid in the clear bussing bin to the left,oct14_pretrain_80000,eval_17724,1,1,0
2026-04-01-131534Z-ur5e_single_4-0a7400ce9dca,pick up plastic container and put plastic container in the clear bussing bin to the left,oct14_pretrain_80000,eval_17724,1,1,0
2026-04-01-132324Z-ur5e_single_4-1f1c35de7445,pick up foil tray and put foil tray in the clear bussing bin to the left,oct14_pretrain_80000,eval_17724,1,0,0
2026-04-01-163709Z-ur5e_single_4-d5e727b93b0e,pick up yellow cup and put yellow cup in the blue trash can,oct14_pretrain_80000,eval_17724,1,1,1
2026-04-01-165023Z-ur5e_single_4-6fc8793865df,pick up orange cup and put orange cup in the blue trash can,oct14_pretrain_80000,eval_17724,1,1,1
2026-04-01-172539Z-ur5e_single_4-60d82ec13a75,pick up blue bowl and put blue bowl in the blue trash can,oct14_pretrain_80000,eval_17724,1,1,1
2026-04-01-173505Z-ur5e_single_4-82ddc29d6b8e,pick up white bowl and put white bowl in the blue trash can,oct14_pretrain_80000,eval_17724,1,1,1
2026-04-01-180352Z-ur5e_single_4-45af8b839adb,pick up orange plate and put orange plate in the blue trash can,oct14_pretrain_80000,eval_17724,1,1,0
2026-04-01-182245Z-ur5e_single_4-395a1f5e2e0a,pick up chopstick and put chopstick in the blue trash can,oct14_pretrain_80000,eval_17724,1,1,0
2026-04-01-184611Z-ur5e_single_4-56146bc09eec,pick up spoon and put spoon in the blue trash can,oct14_pretrain_80000,eval_17724,1,0,0
2026-04-01-194822Z-ur5e_single_4-230fd0c03966,pick up chip bag and put chip bag in the clear bussing bin to the left,oct14_pretrain_80000,eval_17724,1,1,0
2026-04-01-200638Z-ur5e_single_4-d749d370eb6b,pick up plastic lid and put plastic lid in the clear bussing bin to the left,oct14_pretrain_80000,eval_17724,0,0,0
2026-04-01-201847Z-ur5e_single_4-f91b066eeb49,pick up plastic container and put plastic container in the clear bussing bin to the left,oct14_pretrain_80000,eval_17724,1,1,0
2026-04-01-203428Z-ur5e_single_4-4c0b69b0213c,pick up foil tray and put foil tray in the clear bussing bin to the left,oct14_pretrain_80000,eval_17724,1,0,0
2026-04-01-204936Z-ur5e_single_4-2f1aa8e29d1f,pick up bottle and put bottle in the clear bussing bin to the left,oct14_pretrain_80000,eval_17724,1,1,1
,,,,,,
2026-04-01-055652Z-ur5e_single_4-998db461a587,pick up yellow cup and put yellow cup in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80000,eval_17724,1,1,0
2026-04-01-060658Z-ur5e_single_4-3ee470f182c4,pick up orange cup and put orange cup in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80001,eval_17724,0,0,0
2026-04-01-061338Z-ur5e_single_4-feee0c2c9547,pick up blue bowl and put blue bowl in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80002,eval_17724,1,1,0
2026-04-01-061937Z-ur5e_single_4-83cb71ad3a1f,pick up white bowl and put white bowl in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80003,eval_17724,0,0,0
2026-04-01-063425Z-ur5e_single_4-477ebe4176df,pick up orange plate and put orange plate in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80004,eval_17724,0,0,0
2026-04-01-064349Z-ur5e_single_4-173b54f4d608,pick up chopstick and put chopstick in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80005,eval_17724,0,0,0
2026-04-01-073719Z-ur5e_single_4-9dae9f3ca01f,pick up spoon and put spoon in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80006,eval_17724,0,0,0
2026-04-01-075437Z-ur5e_single_4-6372610936c9,pick up chip bag and put chip bag in the clear bussing bin to the left,v10_span_buckets_oct14_pretrain_12_22_80007,eval_17724,0,0,0
2026-04-01-081006Z-ur5e_single_4-1256de554e50,pick up plastic lid and put plastic lid in the clear bussing bin to the left,v10_span_buckets_oct14_pretrain_12_22_80008,eval_17724,0,0,0
2026-04-01-082601Z-ur5e_single_4-9bdc1dbec604,pick up plastic container and put plastic container in the clear bussing bin to the left,v10_span_buckets_oct14_pretrain_12_22_80009,eval_17724,0,0,0
2026-04-01-084447Z-ur5e_single_4-6c5c4282b401,pick up foil tray and put foil tray in the clear bussing bin to the left,v10_span_buckets_oct14_pretrain_12_22_80010,eval_17724,1,0,0
2026-04-01-090102Z-ur5e_single_4-a129b378a3c7,pick up bottle and put bottle in the clear bussing bin to the left,v10_span_buckets_oct14_pretrain_12_22_80011,eval_17724,0,0,0
2026-04-01-092951Z-ur5e_single_4-41c31505ba59,pick up yellow cup and put yellow cup in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80012,eval_17724,0,0,0
2026-04-01-095428Z-ur5e_single_4-4d17d21d3d28,pick up orange cup and put orange cup in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80013,eval_17724,1,1,0
2026-04-01-102619Z-ur5e_single_4-58413832a1eb,pick up blue bowl and put blue bowl in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80014,eval_17724,0,0,0
2026-04-01-104410Z-ur5e_single_4-bcc8abd79c37,pick up white bowl and put white bowl in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80015,eval_17724,0,0,0
2026-04-01-123143Z-ur5e_single_4-2c1245aff162,pick up chopstick and put chopstick in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80016,eval_17724,0,0,0
2026-04-01-123919Z-ur5e_single_4-896e333e5943,pick up spoon and put spoon in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80017,eval_17724,0,0,0
2026-04-01-125211Z-ur5e_single_4-0ee7577f7cb1,pick up chip bag and put chip bag in the clear bussing bin to the left,v10_span_buckets_oct14_pretrain_12_22_80018,eval_17724,0,0,0
2026-04-01-125923Z-ur5e_single_4-61c42aabcc63,pick up plastic lid and put plastic lid in the clear bussing bin to the left,v10_span_buckets_oct14_pretrain_12_22_80019,eval_17724,0,0,0
2026-04-01-131852Z-ur5e_single_4-5bd5c40837b2,pick up plastic container and put plastic container in the clear bussing bin to the left,v10_span_buckets_oct14_pretrain_12_22_80020,eval_17724,0,0,0
2026-04-01-132546Z-ur5e_single_4-910145673751,pick up foil tray and put foil tray in the clear bussing bin to the left,v10_span_buckets_oct14_pretrain_12_22_80021,eval_17724,0,0,0
2026-04-01-162831Z-ur5e_single_4-0e963c093c6a,pick up bottle and put bottle in the clear bussing bin to the left,v10_span_buckets_oct14_pretrain_12_22_80022,eval_17724,0,0,0
2026-04-01-164108Z-ur5e_single_4-28aadb61202b,pick up yellow cup and put yellow cup in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80023,eval_17724,1,1,0
2026-04-01-165423Z-ur5e_single_4-0053e71d6b75,pick up orange cup and put orange cup in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80024,eval_17724,,,
2026-04-01-172758Z-ur5e_single_4-ad562aa18358,pick up blue bowl and put blue bowl in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80025,eval_17724,1,1,0
2026-04-01-173818Z-ur5e_single_4-22d2d33d7fed,pick up white bowl and put white bowl in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80026,eval_17724,1,1,0
2026-04-01-180939Z-ur5e_single_4-21a617838517,pick up orange plate and put orange plate in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80027,eval_17724,1,0,0
2026-04-01-182632Z-ur5e_single_4-0e67750e5e4b,pick up chopstick and put chopstick in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80028,eval_17724,0,0,0
2026-04-01-185201Z-ur5e_single_4-63d5fbf5fc09,pick up spoon and put spoon in the blue trash can,v10_span_buckets_oct14_pretrain_12_22_80029,eval_17724,0,0,0
2026-04-01-194902Z-ur5e_single_4-b1f3d6009050,pick up chip bag and put chip bag in the clear bussing bin to the left,v10_span_buckets_oct14_pretrain_12_22_80030,eval_17724,0,0,0
2026-04-01-201221Z-ur5e_single_4-66fa7c5f6ba0,pick up plastic lid and put plastic lid in the clear bussing bin to the left,v10_span_buckets_oct14_pretrain_12_22_80031,eval_17724,0,0,0
2026-04-01-202001Z-ur5e_single_4-5fe7e8d1188e,pick up plastic container and put plastic container in the clear bussing bin to the left,v10_span_buckets_oct14_pretrain_12_22_80032,eval_17724,1,0,0
2026-04-01-203657Z-ur5e_single_4-dc6e0bc4809e,pick up foil tray and put foil tray in the clear bussing bin to the left,v10_span_buckets_oct14_pretrain_12_22_80033,eval_17724,0,0,0
2026-04-01-205623Z-ur5e_single_4-897038ce72e0,pick up bottle and put bottle in the clear bussing bin to the left,v10_span_buckets_oct14_pretrain_12_22_80034,eval_17724,0,0,0
,,,,,,
2026-04-01-210849Z-ur5e_single_4-b1acb815e769,pick up yellow cup and put it in bin,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-01-212328Z-ur5e_single_4-d202417b1ab5,pick up orange cup and put it in bin,full_large_run_5_100000_rtb,eval_17725,0,0,0
2026-04-01-215458Z-ur5e_single_4-87e571c9be41,pick up blue bowl and put it in bin,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-01-221347Z-ur5e_single_4-b61c16361710,pick up white bowl and put it in bin,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-02-002826Z-ur5e_single_4-817b9baa2316,pick up orange plate and put it in bin,full_large_run_5_100000_rtb,eval_17725,0,0,0
2026-04-02-005750Z-ur5e_single_4-3839a9e7195b,pick up chopstick and put it in bin,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-02-012625Z-ur5e_single_4-f18bab613a6e,pick up spoon and put it in bin,full_large_run_5_100000_rtb,eval_17725,0,0,0
2026-04-02-014819Z-ur5e_single_4-cb68966f52d1,pick up chip bag and throw it away,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-02-023051Z-ur5e_single_4-4ff36ac3845d,pick up plastic lid and throw it away,full_large_run_5_100000_rtb,eval_17725,0,0,0
2026-04-02-033930Z-ur5e_single_4-445701b67f6c,pick up plastic container and throw it away,full_large_run_5_100000_rtb,eval_17725,0,0,0
2026-04-02-035339Z-ur5e_single_4-b1aea2d3eadb,pick up foil tray and throw it away,full_large_run_5_100000_rtb,eval_17725,0,0,0
2026-04-02-040846Z-ur5e_single_4-a8a1f52e262a,pick up bottle and throw it away,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-02-042052Z-ur5e_single_4-eac1a662ad31,pick up yellow cup and put it in bin,full_large_run_5_100000_rtb,eval_17725,0,0,0
2026-04-02-043028Z-ur5e_single_4-873fdef3b0aa,pick up orange cup and put it in bin,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-02-043949Z-ur5e_single_4-a51e0be7bc11,pick up blue bowl and put it in bin,full_large_run_5_100000_rtb,eval_17725,0,0,0
2026-04-02-045608Z-ur5e_single_4-59ac423d1270,pick up white bowl and put it in bin,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-02-050933Z-ur5e_single_4-8d81a167867f,pick up orange plate and put it in bin,full_large_run_5_100000_rtb,eval_17725,0,0,0
2026-04-02-054519Z-ur5e_single_4-3cde735d2349,pick up chopstick and put it in bin,full_large_run_5_100000_rtb,eval_17725,0,0,0
2026-04-02-055747Z-ur5e_single_4-ee73d5d1428e,pick up spoon and put it in bin,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-02-061354Z-ur5e_single_4-ac49d5be2aa7,pick up chip bag and throw it away,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-02-062823Z-ur5e_single_4-1339f714c527,pick up plastic lid and throw it away,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-02-072501Z-ur5e_single_4-d4ef4a95281b,pick up foil tray and throw it away,full_large_run_5_100000_rtb,eval_17725,1,1,0
2026-04-02-075731Z-ur5e_single_4-305d08b4f32d,pick up bottle and throw it away,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-02-081203Z-ur5e_single_4-9eda5a6a2cf3,pick up yellow cup and put it in bin,full_large_run_5_100000_rtb,eval_17725,0,0,0
2026-04-02-082426Z-ur5e_single_4-995efdf06a24,pick up orange cup and put it in bin,full_large_run_5_100000_rtb,eval_17725,0,0,0
2026-04-02-084320Z-ur5e_single_4-14333c506f97,pick up blue bowl and put it in bin,full_large_run_5_100000_rtb,eval_17725,0,0,0
2026-04-02-092635Z-ur5e_single_4-f01689650d4c,pick up white bowl and put it in bin,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-02-152050Z-ur5e_single_4-e2e1b8eb918a,pick up orange plate and put it in bin,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-02-154145Z-ur5e_single_4-baae79b9e4de,pick up chopstick and put it in bin,full_large_run_5_100000_rtb,eval_17725,1,1,0
2026-04-02-155745Z-ur5e_single_4-69faf0179720,pick up spoon and put it in bin,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-02-160529Z-ur5e_single_4-08c100b2b0b8,pick up chip bag and throw it away,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-02-161302Z-ur5e_single_4-f141d2a07ef3,pick up plastic lid and throw it away,full_large_run_5_100000_rtb,eval_17725,1,0,0
2026-04-02-162036Z-ur5e_single_4-33dd3f175474,pick up plastic container and throw it away,full_large_run_5_100000_rtb,eval_17725,1,1,1
2026-04-02-162712Z-ur5e_single_4-cbbb7d7452cd,pick up foil tray and throw it away,full_large_run_5_100000_rtb,eval_17725,1,1,1
2026-04-02-164437Z-ur5e_single_4-10b5b2fc4e22,pick up bottle and throw it away,full_large_run_5_100000_rtb,eval_17725,1,0,0
,,,,,,
2026-04-01-211250Z-ur5e_single_4-c4e174b2581c,pick up yellow cup and put it in bin,episode_buckets_120000,eval_17725,1,1,1
2026-04-01-214907Z-ur5e_single_4-3845eba4bf36,pick up orange cup and put it in bin,episode_buckets_120000,eval_17725,1,1,1
2026-04-01-220016Z-ur5e_single_4-0b186f4ed889,pick up blue bowl and put it in bin,episode_buckets_120000,eval_17725,1,0,0
